
RECORDING STARTED
Push robot forward, then release.
Let it oscillate until it settles.

time_ms,pitch,pitchRate,angularAccel,accelPitch
1474,5.842,38.350,305.821,-4.116
1478,5.792,36.343,-448.132,-4.615
1482,5.747,34.999,-298.558,-4.179
1487,5.719,36.365,303.917,-3.691
1491,5.655,36.572,45.883,-5.513
1495,5.600,36.419,-34.355,-5.017
1500,5.558,38.770,529.538,-4.930
1505,5.485,33.999,-1068.771,-5.553
1510,5.433,38.236,931.539,-5.612
1514,5.364,34.533,-825.667,-5.625
1518,5.303,35.404,193.212,-5.523
1523,5.236,35.312,-20.502,-5.772
1527,5.169,34.678,-141.805,-5.691
1531,5.096,36.625,434.113,-6.519
1536,5.038,36.785,35.782,-5.911
1540,4.994,39.083,516.107,-5.649
1545,4.945,37.732,-302.135,-5.728
1550,4.858,33.892,-852.508,-6.916
1554,4.789,36.480,577.116,-6.604
1559,4.709,35.511,-216.399,-7.007
1563,4.599,33.831,-374.529,-8.212
1568,4.496,34.060,50.755,-8.074
1572,4.414,38.503,1004.237,-7.949
1576,4.327,38.014,-107.895,-8.354
1581,4.214,34.671,-743.663,-9.002
1585,4.116,34.327,-76.133,-8.250
1590,4.006,33.839,-109.934,-8.740
1595,3.899,36.106,505.163,-9.322
1599,3.765,32.823,-732.034,-9.982
1604,3.670,36.228,758.596,-8.979
1608,3.554,31.480,-1059.842,-9.042
1612,3.435,32.923,318.910,-9.679
1617,3.307,31.572,-301.595,-9.891
1621,3.184,33.434,414.278,-10.190
1626,3.054,30.678,-610.754,-10.122
1630,2.930,33.075,527.962,-10.520
1635,2.816,33.915,186.599,-10.228
1640,2.685,31.724,-484.699,-10.741
1644,2.541,30.694,-226.990,-11.365
1649,2.414,30.144,-121.168,-10.499
1653,2.285,30.701,122.635,-10.876
1657,2.134,26.946,-828.713,-11.267
1662,2.003,30.648,813.332,-11.217
1666,1.885,32.701,453.898,-11.173
1671,1.737,28.136,-1010.825,-11.756
1676,1.604,28.907,168.045,-11.409
1681,1.461,28.556,-78.102,-11.843
1685,1.312,26.281,-505.963,-11.753
1689,1.155,25.740,-119.065,-12.262
1694,1.012,28.778,670.973,-12.384
1698,0.838,24.297,-990.477,-13.098
1703,0.656,22.236,-456.392,-13.158
