2.413
969312,2.858,-1.539,1.809,2.627
969316,2.854,0.355,2.601,2.907
969321,2.851,1.408,2.377,3.062
969325,2.827,-2.294,2.155,2.483
969329,2.778,-4.653,1.412,2.080
969334,2.772,-1.813,2.848,2.500
969338,2.759,0.652,1.977,2.857
969342,2.751,0.225,2.325,2.785
969348,2.751,1.492,2.407,2.974
969352,2.741,-0.806,2.469,2.621
969356,2.752,0.981,3.058,2.899
969361,2.739,-1.615,2.469,2.497
969365,2.735,0.500,2.433,2.810
969369,2.726,-1.409,2.550,2.514
969374,2.706,-1.294,2.006,2.512
969378,2.716,1.141,2.973,2.887
969382,2.726,-0.523,3.323,2.647
969388,2.727,-0.836,2.948,2.601
969392,2.733,-0.470,3.130,2.662
969396,2.743,1.981,2.802,3.040
969401,2.763,1.408,3.441,2.974
969405,2.744,-0.134,1.869,2.724
969409,2.756,0.225,3.271,2.790
969413,2.756,0.034,2.775,2.761
969418,2.756,-0.287,2.818,2.713
969422,2.779,1.668,3.517,3.029
969426,2.781,1.790,2.493,3.049
969432,2.756,-3.088,2.206,2.293
969436,2.743,-1.760,2.502,2.479
969440,2.760,3.217,2.868,3.242
969445,2.771,0.851,3.124,2.898
969449,2.780,1.576,2.885,3.016
969453,2.790,2.492,2.725,3.163
969458,2.808,1.126,3.455,2.977
969462,2.808,-1.439,3.134,2.592
969466,2.827,-0.813,3.915,2.705
969472,2.828,-2.187,3.360,2.500
969476,2.803,-2.119,2.038,2.485
969480,2.811,-1.355,3.531,2.608
969485,2.807,-0.439,2.691,2.741
969489,2.817,2.996,2.670,3.267
969493,2.838,2.698,3.280,3.243
969498,2.839,0.813,2.696,2.961
969502,2.845,0.790,2.959,2.963
969506,2.860,3.210,2.900,3.341
969511,2.850,0.080,2.341,2.862
969516,2.878,2.866,3.616,3.308
969520,2.867,0.599,2.193,2.956
969525,2.860,0.194,2.501,2.889
969529,2.859,0.942,2.583,3.000
969533,2.871,2.347,2.948,3.223
969538,2.860,0.645,2.206,2.957
969542,2.844,-0.997,2.294,2.695
969546,2.820,-2.844,2.241,2.393
969551,2.816,1.026,2.373,2.969
969555,2.818,2.423,2.391,3.181
969560,2.824,1.072,2.908,2.985
969564,2.817,0.271,2.395,2.857
969569,2.831,2.912,2.885,3.267
969573,2.842,1.820,3.016,3.115
969577,2.837,3.019,1.936,3.290
969582,2.832,2.248,2.113,3.170
969586,2.819,-0.233,2.222,2.784
969590,2.806,-0.783,2.317,2.688
969595,2.792,-0.974,2.331,2.646
969600,2.786,3.553,1.704,3.319
969604,2.780,1.232,2.220,2.965
969609,2.776,-0.203,2.641,2.746
969613,2.763,0.492,2.027,2.837
969617,2.741,-0.271,1.704,2.700
969622,2.745,1.141,2.722,2.917
969626,2.744,1.126,2.416,2.913
969630,2.727,0.042,1.899,2.733
969635,2.697,-3.355,1.944,2.194
969639,2.688,-1.737,2.626,2.427
969644,2.692,1.309,2.624,2.889
969649,2.698,0.950,2.774,2.841
969653,2.693,-0.264,2.490,2.653
969657,2.690,1.866,2.144,2.970
969662,2.680,-1.149,2.463,2.508
969666,2.685,2.408,2.407,3.047
969670,2.690,0.156,2.872,2.713
969675,2.711,2.011,3.325,3.013
969679,2.717,-0.913,3.211,2.580
969683,2.719,-0.470,2.892,2.648
969689,2.722,-1.172,3.164,2.547
969693,2.727,-0.707,3.110,2.621
969697,2.722,2.309,1.991,3.069
969702,2.726,2.362,2.414,3.081
969706,2.727,0.011,2.749,2.729
969710,2.741,0.370,3.365,2.797
969715,2.753,0.377,3.256,2.810
969719,2.750,1.461,2.277,2.969
969723,2.754,1.064,2.698,2.913
969729,2.747,0.377,2.337,2.804
969733,2.741,1.668,2.091,2.991
969737,2.721,-4.035,2.594,2.115
969742,2.721,0.713,2.565,2.828
969746,2.728,3.484,2.344,3.251
969750,2.732,0.164,2.900,2.757
969754,2.749,0.469,3.458,2.819
969759,2.749,-0.355,2.818,2.696
969763,2.759,2.087,2.822,3.072
969767,2.775,2.156,3.056,3.098
969773,2.771,-1.432,2.902,2.556
969777,2.789,1.400,3.371,2.999
969781,2.773,-0.516,2.091,2.695
969786,2.777,0.439,2.890,2.843
969790,2.780,0.805,2.752,2.901
969794,2.764,-0.714,2.128,2.657
969799,2.774,1.927,2.830,3.063
969803,2.799,1.652,3.663,3.046
969807,2.811,1.278,3.159,3.003
969812,2.819,1.721,2.846,3.078
969817,2.815,-0.699,2.746,2.710
969821,2.828,1.897,3.055,3.113
969826,2.809,-2.012,2.320,2.507
969830,2.811,4.179,2.010,3.438
969834,2.816,1.164,2.792,2.991
969839,2.814,-0.760,2.858,2.700
969843,2.824,0.713,3.197,2.931
969847,2.821,1.347,2.391,3.024
969852,2.791,-4.477,2.259,2.119
969857,2.779,1.469,1.856,2.999
969861,2.765,-0.035,2.108,2.760
969866,2.760,-0.714,2.662,2.653
969870,2.755,1.400,2.224,2.965
969874,2.743,0.255,2.077,2.781
969879,2.745,1.194,2.606,2.924
969883,2.741,2.148,2.052,3.063
969887,2.719,-0.256,1.713,2.681
969892,2.709,-0.401,2.295,2.649
969896,2.695,1.866,1.642,2.975
969901,2.710,0.561,3.293,2.794
969906,2.716,0.965,2.831,2.861
969910,2.712,0.126,2.448,2.731
969914,2.714,-0.241,2.889,2.678
969919,2.724,-0.279,3.279,2.682
969923,2.739,0.293,3.394,2.783
969927,2.739,-0.035,2.759,2.734
969932,2.749,0.729,3.085,2.859
969936,2.760,1.026,3.060,2.914
969940,2.779,0.889,3.534,2.913
969945,2.772,-3.279,3.128,2.280
969950,2.773,1.690,2.460,3.027
969954,2.759,-3.035,2.713,2.304
969958,2.761,0.881,2.656,2.893
969963,2.766,0.133,3.008,2.786
969967,2.756,-1.332,2.553,2.556
969971,2.748,-3.447,3.101,2.231
969976,2.749,0.828,2.615,2.873
969980,2.750,-0.989,2.995,2.601
